OriginalName,SmogonName
Dreepy,dreepy
Drakloak,drakloak
Dragapult,dragapult
Zacian Hero of Many Battles,zacian-hero-of-many-battles
Zacian Crowned Sword,zacian-crowned-sword
Zamazenta Hero of Many Battles,zamazenta-hero-of-many-battles
Zamazenta Crowned Shield,zamazenta-crowned-shield
Eternatus,eternatus
Eternatus Eternamax,eternatus-eternamax
Kubfu,kubfu
Urshifu Single Strike Style,urshifu-single-strike-style
Urshifu Rapid Strike Style,urshifu-rapid-strike-style
Zarude,zarude
Regieleki,regieleki
Regidrago,regidrago
Glastrier,glastrier
Spectrier,spectrier
Calyrex,calyrex
Calyrex Ice Rider,calyrex-ice-rider
Calyrex Shadow Rider,calyrex-shadow-rider
Wyrdeer,wyrdeer
Kleavor,kleavor
Ursaluna,ursaluna
Ursaluna Bloodmoon,ursaluna-bloodmoon
Basculegion Male,basculegion-male
Basculegion Female,basculegion-female
Sneasler,sneasler
Overqwil,overqwil
Enamorus Incarnate Forme,enamorus-incarnatee
Enamorus Therian Forme,enamorus-theriane
Sprigatito,sprigatito
Floragato,floragato
Meowscarada,meowscarada
Fuecoco,fuecoco
Crocalor,crocalor
Skeledirge,skeledirge
Quaxly,quaxly
Quaxwell,quaxwell
Quaquaval,quaquaval
Lechonk,lechonk
Oinkologne Male,oinkologne-male
Oinkologne Female,oinkologne-female
Tarountula,tarountula
Spidops,spidops
Nymble,nymble
Lokix,lokix
Pawmi,pawmi
Pawmo,pawmo
Pawmot,pawmot
Tandemaus,tandemaus
Maushold Family of Four,maushold-family-of-four
Maushold Family of Three,maushold-family-of-three
Fidough,fidough
Dachsbun,dachsbun
Smoliv,smoliv
Dolliv,dolliv
Arboliva,arboliva
Squawkabilly Green Plumage,squawkabilly-green-plumage
Squawkabilly Blue Plumage,squawkabilly-blue-plumage
Squawkabilly Yellow Plumage,squawkabilly-yellow-plumage
Squawkabilly White Plumage,squawkabilly-white-plumage
Nacli,nacli
Naclstack,naclstack
Garganacl,garganacl
Charcadet,charcadet
Armarouge,armarouge
Ceruledge,ceruledge
Tadbulb,tadbulb
Bellibolt,bellibolt
Wattrel,wattrel
Kilowattrel,kilowattrel
Maschiff,maschiff
Mabosstiff,mabosstiff
Shroodle,shroodle
Grafaiai,grafaiai
Bramblin,bramblin
Brambleghast,brambleghast
Toedscool,toedscool
Toedscruel,toedscruel
Klawf,klawf
Capsakid,capsakid
Scovillain,scovillain
Rellor,rellor
Rabsca,rabsca
Flittle,flittle
Espathra,espathra
Tinkatink,tinkatink
Tinkatuff,tinkatuff
Tinkaton,tinkaton
Wiglett,wiglett
Wugtrio,wugtrio
Bombirdier,bombirdier
Finizen,finizen
Palafin Zero Form,palafin-zero-form
Palafin Hero Form,palafin-hero-form
Varoom,varoom
Revavroom,revavroom
Cyclizar,cyclizar
Orthworm,orthworm
Glimmet,glimmet
Glimmora,glimmora
Greavard,greavard
Houndstone,houndstone
Flamigo,flamigo
Cetoddle,cetoddle
Cetitan,cetitan
Veluza,veluza
Dondozo,dondozo
Tatsugiri Curly Form,tatsugiri-curly-form
Tatsugiri Droopy Form,tatsugiri-droopy-form
Tatsugiri Stretchy Form,tatsugiri-stretchy-form
Annihilape,annihilape
Clodsire,clodsire
Farigiraf,farigiraf
Dudunsparce Two-Segment Form,dudunsparce-two-segment-form
Dudunsparce Three-Segment Form,dudunsparce-three-segment-form
Kingambit,kingambit
Great Tusk,great-tusk
Scream Tail,scream-tail
Brute Bonnet,brute-bonnet
Flutter Mane,flutter-mane
Slither Wing,slither-wing
Sandy Shocks,sandy-shocks
Iron Treads,iron-treads
Iron Bundle,iron-bundle
Iron Hands,iron-hands
Iron Jugulis,iron-jugulis
Iron Moth,iron-moth
Iron Thorns,iron-thorns
Frigibax,frigibax
Arctibax,arctibax
Baxcalibur,baxcalibur
Gimmighoul Chest Form,gimmighoul-chest-form
Gimmighoul Roaming Form,gimmighoul-roaming-form
Gholdengo,gholdengo
Wo-Chien,wo-chien
Chien-Pao,chien-pao
Ting-Lu,ting-lu
Chi-Yu,chi-yu
Roaring Moon,roaring-moon
Iron Valiant,iron-valiant
Koraidon,koraidon
Miraidon,miraidon
Walking Wake,walking-wake
Iron Leaves,iron-leaves
Dipplin,dipplin
Poltchageist,poltchageist
Sinistcha,sinistcha
Okidogi,okidogi
Munkidori,munkidori
Fezandipiti,fezandipiti
Ogerpon Teal Mask,ogerpon-teal-mask
Ogerpon Wellspring Mask,ogerpon-wellspring-mask
Ogerpon Hearthflame Mask,ogerpon-hearthflame-mask
Ogerpon Cornerstone Mask,ogerpon-cornerstone-mask
Archaludon,archaludon
Hydrapple,hydrapple
Gouging Fire,gouging-fire
Raging Bolt,raging-bolt
Iron Boulder,iron-boulder
Iron Crown,iron-crown
Terapagos Normal Form,terapagos-normal-form
Terapagos Terastal Form,terapagos-terastal-form
Terapagos Stellar Form,terapagos-stellar-form
Pecharunt,pecharunt
