Name,Type,Category,Effect
Comet Punch,Normal,Physical,Hits 2-5 times in one turn.
Confide,Normal,Status,Lowers opponent's Special Attack.
Constrict,Normal,Physical,May lower opponent's Speed by one stage.
Conversion,Normal,Status,Changes user's type to that of its first move.
Conversion 2,Normal,Status,User changes type to become resistant to opponent's last move.
Copycat,Normal,Status,Copies opponent's last move.
Court Change,Normal,Status,Swaps the effects on either side of the field.
Covet,Normal,Physical,Opponent's item is stolen by the user.
Crush Claw,Normal,Physical,May lower opponent's Defense.
Crush Grip,Normal,Physical,More powerful when opponent has higher HP.
Cut,Normal,Physical,�
Defense Curl,Normal,Status,Raises user's Defense.
Disable,Normal,Status,Opponent can't use its last attack for a few turns.
Dizzy Punch,Normal,Physical,May confuse opponent.
Doodle,Normal,Status,Changes the abilities of the user and its teammates to that of the target.
Double Hit,Normal,Physical,Hits twice in one turn.
Double Slap,Normal,Physical,Hits 2-5 times in one turn.
Double Team,Normal,Status,Raises user's Evasiveness.
Double-Edge,Normal,Physical,User receives recoil damage.
Echoed Voice,Normal,Special,Power increases each turn.
Egg Bomb,Normal,Physical,�
Encore,Normal,Status,Forces opponent to keep using its last move for 3 turns.
Endeavor,Normal,Physical,Reduces opponent's HP to same as user's.
Endure,Normal,Status,"Always left with at least 1 HP, but may fail if used consecutively."
Entrainment,Normal,Status,Makes target's ability same as user's.
Explosion,Normal,Physical,User faints.
Extreme Speed,Normal,Physical,User attacks first.
Facade,Normal,Physical,"Power doubles if user is burned, poisoned, or paralyzed."
Fake Out,Normal,Physical,"User attacks first, foe flinches. Only usable on first turn."
False Swipe,Normal,Physical,Always leaves opponent with at least 1 HP.
Feint,Normal,Physical,Only hits if opponent uses Protect or Detect in the same turn.
Fillet Away,Normal,Status,"Lowers HP but sharply boosts Attack, Special Attack, and Speed."
Flail,Normal,Physical,"The lower the user's HP, the higher the power."
Flash,Normal,Status,Lowers opponent's Accuracy.
Focus Energy,Normal,Status,Increases critical hit ratio.
Follow Me,Normal,Status,"In Double Battle, the user takes all the attacks."
Foresight,Normal,Status,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Frustration,Normal,Physical,Power decreases with higher Friendship.
Fury Attack,Normal,Physical,Hits 2-5 times in one turn.
Fury Swipes,Normal,Physical,Hits 2-5 times in one turn.
Giga Impact,Normal,Physical,User must recharge next turn.
Glare,Normal,Status,Paralyzes opponent.
Growl,Normal,Status,Lowers opponent's Attack.
Growth,Normal,Status,Raises user's Attack and Special Attack.
Guillotine,Normal,Physical,"One-Hit-KO, if it hits."
Happy Hour,Normal,Status,Doubles prize money from trainer battles.
Harden,Normal,Status,Raises user's Defense.
Head Charge,Normal,Physical,User receives recoil damage.
Headbutt,Normal,Physical,May cause flinching.
Heal Bell,Normal,Status,Heals the user's party's status conditions.
Helping Hand,Normal,Status,"In Double Battles, boosts the power of the partner's move."
Hidden Power,Normal,Special,Type and power depends on user's IVs.
Hold Back,Normal,Physical,Always leaves opponent with at least 1 HP.
Hold Hands,Normal,Status,Makes the user and an ally very happy.
Horn Attack,Normal,Physical,�
Horn Drill,Normal,Physical,"One-Hit-KO, if it hits."
Howl,Normal,Status,Raises Attack of allies.
Hyper Beam,Normal,Special,User must recharge next turn.
Hyper Drill,Normal,Physical,Can strike through Protect/Detect.
Hyper Fang,Normal,Physical,May cause flinching.
Hyper Voice,Normal,Special,�
Judgment,Normal,Special,Type depends on the Arceus Plate being held.
Laser Focus,Normal,Status,User's next attack is guaranteed to result in a critical hit.
Last Resort,Normal,Physical,Can only be used after all other moves are used.
Leer,Normal,Status,Lowers opponent's Defense.
Lock-On,Normal,Status,User's next attack is guaranteed to hit.
Lovely Kiss,Normal,Status,Puts opponent to sleep.
Lucky Chant,Normal,Status,Opponent cannot land critical hits for 5 turns.
Max Guard,Normal,Status,Status category Dynamax move. Protects the user.
Me First,Normal,Status,User copies the opponent's attack with 1.5� power.
Mean Look,Normal,Status,Opponent cannot flee or switch.
Mega Kick,Normal,Physical,�
Mega Punch,Normal,Physical,�
Metronome,Normal,Status,User performs almost any move in the game at random.
Milk Drink,Normal,Status,User recovers half its max HP.
Mimic,Normal,Status,Copies the opponent's last move.
Mind Reader,Normal,Status,User's next attack is guaranteed to hit.
Minimize,Normal,Status,Sharply raises user's Evasiveness.
Morning Sun,Normal,Status,User recovers HP. Amount varies with the weather.
Multi-Attack,Normal,Physical,Type matches Memory item held.
Natural Gift,Normal,Physical,Power and type depend on the user's held berry.
Nature Power,Normal,Status,Uses a certain move based on the current terrain.
Noble Roar,Normal,Status,Lowers opponent's Attack and Special Attack.
Odor Sleuth,Normal,Status,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Pain Split,Normal,Status,The user's and opponent's HP becomes the average of both.
Pay Day,Normal,Physical,Money is earned after the battle.
Perish Song,Normal,Status,Any Pok�mon in play when this attack is used faints in 3 turns.
Play Nice,Normal,Status,Lowers opponent's Attack. Always hits.
Population Bomb,Normal,Physical,Hits 1-10 times in a row.
Pound,Normal,Physical,�
Power Shift,Normal,Status,Switches Attack and Defense stats.
Present,Normal,Physical,Either deals damage or heals.
Protect,Normal,Status,"Protects the user, but may fail if used consecutively."
Psych Up,Normal,Status,Copies the opponent's stat changes.
Quick Attack,Normal,Physical,User attacks first.
Rage,Normal,Physical,Raises user's Attack when hit.
Raging Bull,Normal,Physical,Type depends on the user�s form. Breaks through Reflect and Light Screen barriers.
Rapid Spin,Normal,Physical,Raises user's Speed and removes entry hazards and trap move effects.
Razor Wind,Normal,Special,"Charges on first turn, attacks on second. High critical hit ratio."
Recover,Normal,Status,User recovers half its max HP.
Recycle,Normal,Status,User's used hold item is restored.
Reflect Type,Normal,Status,User becomes the target's type.
Refresh,Normal,Status,"Cures paralysis, poison, and burns."
Relic Song,Normal,Special,May put the target to sleep.
Retaliate,Normal,Physical,Inflicts double damage if a teammate fainted on the last turn.
Return,Normal,Physical,Power increases with higher Friendship.
Revelation Dance,Normal,Special,Type changes based on Oricorio's form.
Revival Blessing,Normal,Status,Revives a fainted party Pok�mon to half HP.
Roar,Normal,Status,"In battles, the opponent switches. In the wild, the Pok�mon runs."
Rock Climb,Normal,Physical,May confuse opponent.
Round,Normal,Special,Power increases if teammates use it in the same turn.
Safeguard,Normal,Status,The user's party is protected from status conditions.
Scary Face,Normal,Status,Sharply lowers opponent's Speed.
Scratch,Normal,Physical,�
Screech,Normal,Status,Sharply lowers opponent's Defense.
Secret Power,Normal,Physical,Effects of the attack vary with the location.
Self-Destruct,Normal,Physical,User faints.
Sharpen,Normal,Status,Raises user's Attack.
Shed Tail,Normal,Status,"Creates a substitute, then swaps places with a party Pok�mon in waiting."
Shell Smash,Normal,Status,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense."
Simple Beam,Normal,Status,Changes target's ability to Simple.
Sing,Normal,Status,Puts opponent to sleep.
Sketch,Normal,Status,Permanently copies the opponent's last move.
Skull Bash,Normal,Physical,"Raises Defense on first turn, attacks on second."
Slack Off,Normal,Status,User recovers half its max HP.
Slam,Normal,Physical,�
Slash,Normal,Physical,High critical hit ratio.
Sleep Talk,Normal,Status,User performs one of its own moves while sleeping.
Smelling Salts,Normal,Physical,"Power doubles if opponent is paralyzed, but cures it."
Smokescreen,Normal,Status,Lowers opponent's Accuracy.
Snore,Normal,Special,Can only be used if asleep. May cause flinching.
Soft-Boiled,Normal,Status,User recovers half its max HP.
Sonic Boom,Normal,Special,Always inflicts 2� HP.
Spike Cannon,Normal,Physical,Hits 2-5 times in one turn.
Spit Up,Normal,Special,Power depends on how many times the user performed Stockpile.
Splash,Normal,Status,Doesn't do ANYTHING.
Spotlight,Normal,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.
Stockpile,Normal,Status,Stores energy for use with Spit Up and Swallow.
Stomp,Normal,Physical,May cause flinching.
Strength,Normal,Physical,�
Struggle,Normal,Physical,Only usable when all PP are gone. Hurts the user.
Stuff Cheeks,Normal,Status,"The user eats its held Berry, then sharply raises its Defense stat."
Substitute,Normal,Status,Uses HP to creates a decoy that takes hits.
Super Fang,Normal,Physical,Always takes off half of the opponent's HP.
Supersonic,Normal,Status,Confuses opponent.
Swagger,Normal,Status,"Confuses opponent, but sharply raises its Attack."
Swallow,Normal,Status,"The more times the user has performed Stockpile, the more HP is recovered."
Sweet Scent,Normal,Status,Lowers opponent's Evasiveness.
Swift,Normal,Special,Ignores Accuracy and Evasiveness.
Swords Dance,Normal,Status,Sharply raises user's Attack.
Tackle,Normal,Physical,�
Tail Slap,Normal,Physical,Hits 2-5 times in one turn.
Tail Whip,Normal,Status,Lowers opponent's Defense.
Take Down,Normal,Physical,User receives recoil damage.
Tearful Look,Normal,Status,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
Teatime,Normal,Status,Forces all Pok�mon on the field to eat their berries.
Techno Blast,Normal,Special,Type depends on the Drive being held.
Teeter Dance,Normal,Status,Confuses all Pok�mon.
Tera Blast,Normal,Special,Changes type when the user has Terastallized.
Tera Starstorm,Normal,Special,�
Terrain Pulse,Normal,Special,Type and power change depending on the Terrain in effect.
Thrash,Normal,Physical,User attacks for 2-3 turns but then becomes confused.
Tickle,Normal,Status,Lowers opponent's Attack and Defense.
Tidy Up,Normal,Status,"Removes the effects of entry hazards and Substitute, and boosts user�s Attack and Speed."
Transform,Normal,Status,User takes on the form and attacks of the opponent.
Tri Attack,Normal,Special,"May paralyze, burn or freeze opponent."
Trump Card,Normal,Special,"The lower the PP, the higher the power."
Uproar,Normal,Special,User attacks for 3 turns and prevents sleep.
Vise Grip,Normal,Physical,�
Weather Ball,Normal,Special,Move's power and type changes with the weather.
Whirlwind,Normal,Status,"In battles, the opponent switches. In the wild, the Pok�mon runs."
Wish,Normal,Status,The user recovers HP in the following turn.
Work Up,Normal,Status,Raises user's Attack and Special Attack.
Wrap,Normal,Physical,"Traps opponent, damaging them for 4-5 turns."
Wring Out,Normal,Special,"The higher the opponent's HP, the higher the damage."
Yawn,Normal,Status,Puts opponent to sleep in the next turn.
Acid,Poison,Special,May lower opponent's Special Defense.
Acid Armor,Poison,Status,Sharply raises user's Defense.
Acid Spray,Poison,Special,Sharply lowers opponent's Special Defense.
Baneful Bunker,Poison,Status,Protects the user and poisons opponent on contact.
Barb Barrage,Poison,Physical,May poison opponent; inflicts double damage if the target is already poisoned.
Belch,Poison,Special,User must have consumed a Berry.
Clear Smog,Poison,Special,Removes all of the target's stat changes.
Coil,Poison,Status,"Raises user's Attack, Defense and Accuracy."
Corrosive Gas,Poison,Status,Removes opponent's items.
Cross Poison,Poison,Physical,High critical hit ratio. May poison opponent.
Dire Claw,Poison,Physical,"May poison, paralyze or put the opponent to sleep."
Gastro Acid,Poison,Status,Cancels out the effect of the opponent's Ability.
Gunk Shot,Poison,Physical,May poison opponent.
Malignant Chain,Poison,Special,May poison the opponent.
Mortal Spin,Poison,Physical,"Removes entry hazards and trap move effects, and poisons opposing Pok�mon."
Noxious Torque,Poison,Physical,May poison the opponent.
Poison Fang,Poison,Physical,May badly poison opponent.
Poison Gas,Poison,Status,Poisons opponent.
Poison Jab,Poison,Physical,May poison the opponent.
Poison Powder,Poison,Status,Poisons opponent.
Poison Sting,Poison,Physical,May poison the opponent.
Poison Tail,Poison,Physical,High critical hit ratio. May poison opponent.
Purify,Poison,Status,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
Shell Side Arm,Poison,Special,"May poison opponent. Inflicts either Special or Physical damage, whichever is better."
Sludge,Poison,Special,May poison opponent.
Sludge Bomb,Poison,Special,May poison opponent.
Sludge Wave,Poison,Special,May poison opponent.
Smog,Poison,Special,May poison opponent.
Toxic,Poison,Status,Badly poisons opponent.
Toxic Spikes,Poison,Status,Poisons opponents switching into battle.
Toxic Thread,Poison,Status,Poisons opponent and lowers its Speed.
Venom Drench,Poison,Status,Lowers poisoned opponent's Special Attack and Speed.
Venoshock,Poison,Special,Inflicts double damage if the target is poisoned.
Agility,Psychic,Status,Sharply raises user's Speed.
Ally Switch,Psychic,Status,User switches with opposite teammate.
Amnesia,Psychic,Status,Sharply raises user's Special Defense.
Barrier,Psychic,Status,Sharply raises user's Defense.
Calm Mind,Psychic,Status,Raises user's Special Attack and Special Defense.
Confusion,Psychic,Special,May confuse opponent.
Cosmic Power,Psychic,Status,Raises user's Defense and Special Defense.
Dream Eater,Psychic,Special,User recovers half the HP inflicted on a sleeping opponent.
Eerie Spell,Psychic,Special,Deals damage and reduces opponent's PP.
Esper Wing,Psychic,Special,High critical hit ratio. Raises user's Speed.
Expanding Force,Psychic,Special,Increases power and hits all opponents on Psychic Terrain.
Extrasensory,Psychic,Special,May cause flinching.
Freezing Glare,Psychic,Special,May freeze opponent.
Future Sight,Psychic,Special,Damage occurs 2 turns later.
Gravity,Psychic,Status,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Guard Split,Psychic,Status,Averages Defense and Special Defense with the target.
Guard Swap,Psychic,Status,User and opponent swap Defense and Special Defense.
Heal Block,Psychic,Status,Prevents the opponent from restoring HP for 5 turns.
Heal Pulse,Psychic,Status,Restores half the target's max HP.
Healing Wish,Psychic,Status,The user faints and the next Pok�mon released is fully healed.
Heart Stamp,Psychic,Physical,May cause flinching.
Heart Swap,Psychic,Status,Stat changes are swapped with the opponent.
Hyperspace Hole,Psychic,Special,Can strike through Protect/Detect.
Hypnosis,Psychic,Status,Puts opponent to sleep.
Imprison,Psychic,Status,Opponent is unable to use moves that the user also knows.
Instruct,Psychic,Status,Allows an ally to use a move instead.
Kinesis,Psychic,Status,Lowers opponent's Accuracy.
Light Screen,Psychic,Status,Halves damage from Special attacks for 5 turns.
Lumina Crash,Psychic,Special,Harshly lowers target�s Special Defense.
Lunar Blessing,Psychic,Status,Heals user's status conditions and recovers HP.
Lunar Dance,Psychic,Status,The user faints but the next Pok�mon released is fully healed.
Luster Purge,Psychic,Special,May lower opponent's Special Defense.
Magic Coat,Psychic,Status,Reflects moves that cause status conditions back to the attacker.
Magic Powder,Psychic,Status,Changes target's type to Psychic.
Magic Room,Psychic,Status,Suppresses the effects of held items for five turns.
Meditate,Psychic,Status,Raises user's Attack.
Miracle Eye,Psychic,Status,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Coat,Psychic,Special,"When hit by a Special Attack, user strikes back with 2x power."
Mist Ball,Psychic,Special,May lower opponent's Special Attack.
Mystical Power,Psychic,Special,Raises user's Special Attack.
Photon Geyser,Psychic,Special,"Uses Attack or Special Attack stat, whichever is higher."
Power Split,Psychic,Status,Averages Attack and Special Attack with the target.
Power Swap,Psychic,Status,User and opponent swap Attack and Special Attack.
Power Trick,Psychic,Status,User's own Attack and Defense switch.
Prismatic Laser,Psychic,Special,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Psybeam,Psychic,Special,May confuse opponent.
Psyblade,Psychic,Physical,Power increases on Electric Terrain.
Psychic,Psychic,Special,May lower opponent's Special Defense.
Psychic Fangs,Psychic,Physical,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
Psychic Noise,Psychic,Special,Deals damage and prevents target from healing.
Psychic Terrain,Psychic,Status,Prevents priority moves from being used for 5 turns.
Psycho Boost,Psychic,Special,Sharply lowers user's Special Attack.
Psycho Cut,Psychic,Physical,High critical hit ratio.
Psycho Shift,Psychic,Status,Transfers user's status condition to the opponent.
Psyshield Bash,Psychic,Physical,Raises user's Defense and Special Defense.
Psyshock,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense."
Psystrike,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense."
Psywave,Psychic,Special,Inflicts damage 5�-15�% of user's level.
Reflect,Psychic,Status,Halves damage from Physical attacks for 5 turns.
Rest,Psychic,Status,"User sleeps for 2 turns, but user is fully healed."
Role Play,Psychic,Status,User copies the opponent's Ability.
Skill Swap,Psychic,Status,The user swaps Abilities with the opponent.
Speed Swap,Psychic,Status,The user exchanges Speed stats with the target.
Stored Power,Psychic,Special,Power increases when user's stats have been raised.
Synchronoise,Psychic,Special,Hits any Pok�mon that shares a type with the user.
Take Heart,Psychic,Status,Heals user's status conditions and raises its stats.
Telekinesis,Psychic,Status,"Ignores opponent's Evasiveness for three turns, add Ground immunity."
Teleport,Psychic,Status,Allows user to flee wild battles; also warps player to last Pok�Center.
Trick,Psychic,Status,Swaps held items with the opponent.
Trick Room,Psychic,Status,Slower Pok�mon move first in the turn for 5 turns.
Twin Beam,Psychic,Special,Hits twice in one turn.
Wonder Room,Psychic,Status,Swaps every Pok�mon's Defense and Special Defense for 5 turns.
Zen Headbutt,Psychic,Physical,May cause flinching.
Accelerock,Rock,Physical,User attacks first.
Ancient Power,Rock,Special,May raise all user's stats at once.
Diamond Storm,Rock,Physical,May sharply raise user's Defense.
Head Smash,Rock,Physical,User receives recoil damage.
Meteor Beam,Rock,Special,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
Mighty Cleave,Rock,Physical,�
Power Gem,Rock,Special,�
Rock Blast,Rock,Physical,Hits 2-5 times in one turn.
Rock Polish,Rock,Status,Sharply raises user's Speed.
Rock Slide,Rock,Physical,May cause flinching.
Rock Throw,Rock,Physical,�
Rock Tomb,Rock,Physical,Lowers opponent's Speed.
Rock Wrecker,Rock,Physical,User must recharge next turn.
Rollout,Rock,Physical,Doubles in power each turn for 5 turns.
Salt Cure,Rock,Physical,Deals damage each turn; Steel and Water types are more affected.
Sandstorm,Rock,Status,Creates a sandstorm for 5 turns.
Smack Down,Rock,Physical,Makes Flying-type Pok�mon vulnerable to Ground moves.
Stealth Rock,Rock,Status,Damages opponents switching into battle.
Stone Axe,Rock,Physical,Sets up Stealth Rock.
Stone Edge,Rock,Physical,High critical hit ratio.
Tar Shot,Rock,Status,Lowers the opponent's Speed and makes them weaker to Fire-type moves.
Wide Guard,Rock,Status,Protects the user's team from multi-target attacks.
Anchor Shot,Steel,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Autotomize,Steel,Status,Reduces weight and sharply raises Speed.
Behemoth Bash,Steel,Physical,Damage doubles if target is Dynamaxed.
Behemoth Blade,Steel,Physical,Damage doubles if target is Dynamaxed.
Bullet Punch,Steel,Physical,User attacks first.
Doom Desire,Steel,Special,Damage occurs 2 turns later.
Double Iron Bash,Steel,Physical,Hits twice in one turn; may cause flinching.
Flash Cannon,Steel,Special,May lower opponent's Special Defense.
Gear Grind,Steel,Physical,Hits twice in one turn.
Gear Up,Steel,Status,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pok�mon with the Plus or Minus Ability.
Gigaton Hammer,Steel,Physical,Cannot be used twice in a row.
Gyro Ball,Steel,Physical,"The slower the user, the stronger the attack."
Hard Press,Steel,Physical,�
Heavy Slam,Steel,Physical,"The heavier the user, the stronger the attack."
Iron Defense,Steel,Status,Sharply raises user's Defense.
Iron Head,Steel,Physical,May cause flinching.
Iron Tail,Steel,Physical,May lower opponent's Defense.
King's Shield,Steel,Status,Protects the user and lowers opponent's Attack on contact.
Magnet Bomb,Steel,Physical,Ignores Accuracy and Evasiveness.
Make It Rain,Steel,Special,Lowers user's Special Attack. Money is earned after the battle.
Metal Burst,Steel,Physical,Deals damage equal to 1.5x opponent's attack.
Metal Claw,Steel,Physical,May raise user's Attack.
Metal Sound,Steel,Status,Sharply lowers opponent's Special Defense.
Meteor Mash,Steel,Physical,May raise user's Attack.
Mirror Shot,Steel,Special,May lower opponent's Accuracy.
Shelter,Steel,Status,Raises user's Defense.
Shift Gear,Steel,Status,Raises user's Attack and sharply raises Speed.
Smart Strike,Steel,Physical,The user stabs the target with a sharp horn. This attack never misses.
Spin Out,Steel,Physical,Harshly lowers user�s Speed.
Steel Beam,Steel,Special,User loses 50% of its HP.
Steel Roller,Steel,Physical,Fails if no Terrain in effect.
Steel Wing,Steel,Physical,May raise user's Defense.
Sunsteel Strike,Steel,Physical,Ignores the target's ability.
Tachyon Cutter,Steel,Special,Guaranteed to hit twice in a row.
Aqua Cutter,Water,Physical,High critical hit ratio.
Aqua Jet,Water,Physical,User attacks first.
Aqua Ring,Water,Status,Restores a little HP each turn.
Aqua Step,Water,Physical,Raises user's Speed.
Aqua Tail,Water,Physical,�
Brine,Water,Special,Power doubles if opponent's HP is less than 5�%.
Bubble,Water,Special,May lower opponent's Speed.
Bubble Beam,Water,Special,May lower opponent's Speed.
Chilling Water,Water,Special,Lowers opponent's Attack.
Clamp,Water,Physical,"Traps opponent, damaging them for 4-5 turns."
Crabhammer,Water,Physical,High critical hit ratio.
Dive,Water,Physical,"Dives underwater on first turn, attacks on second turn."
Fishious Rend,Water,Physical,"If the user attacks before the target, the power of this move is doubled."
Flip Turn,Water,Physical,"After making its attack, the user rushes back to switch places with a party Pok�mon in waiting."
Hydro Cannon,Water,Special,User must recharge next turn.
Hydro Pump,Water,Special,�
Hydro Steam,Water,Special,Power increases in harsh sunlight.
Jet Punch,Water,Physical,Always goes first.
Life Dew,Water,Status,User and teammates recover HP.
Liquidation,Water,Physical,May lower opponent's Defense.
Muddy Water,Water,Special,May lower opponent's Accuracy.
Octazooka,Water,Special,May lower opponent's Accuracy.
Origin Pulse,Water,Special,Hits all adjacent opponents.
Rain Dance,Water,Status,Makes it rain for 5 turns.
Razor Shell,Water,Physical,May lower opponent's Defense.
Scald,Water,Special,May burn opponent.
Snipe Shot,Water,Special,Ignores moves and abilities that draw in moves. High critical hit ratio.
Soak,Water,Status,Changes the target's type to water.
Sparkling Aria,Water,Special,Heals the burns of its target.
Steam Eruption,Water,Special,May burn opponent.
Surf,Water,Special,Hits all adjacent Pok�mon.
Surging Strikes,Water,Physical,Always results in a critical hit and ignores stat changes.
Triple Dive,Water,Physical,Hits 3 times in a row.
Water Gun,Water,Special,�
Water Pledge,Water,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Water Pulse,Water,Special,May confuse opponent.
Water Shuriken,Water,Special,Hits 2-5 times in one turn.
Water Sport,Water,Status,Weakens the power of Fire-type moves.
Water Spout,Water,Special,"The higher the user's HP, the higher the damage caused."
Waterfall,Water,Physical,May cause flinching.
Wave Crash,Water,Physical,User receives recoil damage.
Whirlpool,Water,Special,"Traps opponent, damaging them for 4-5 turns."
Withdraw,Water,Status,Raises user's Defense.
